Program/Division,Hat Model #,Shirt Model #,Hoodie Model #
Baseball - T-Ball Coaches,4301,ST350,none
Baseball - Kindy Coaches,4301,ST350,none
Baseball - A Coaches,4301,ST350,none
Baseball - AA Coaches,4301,ST350,none
Baseball - AAA Coaches,Richardson PTS30,ST350/ST550,PC90H
Baseball - Majors Coaches,Richardson PTS30,ST350/ST550,PC90H
Baseball - Juniors Coaches,Richardson PTS30,ST350/ST550,PC90H
Baseball - Seniors Coaches,Richardson PTS30,ST350/ST550,PC90H
Softball - A Coaches,Champro HC10,4408,none
Softball - AA Coaches,Champro HC10,4408,none
Softball - AAA Coaches,Champro HC10,ST350/ST550,PC90H
Softball - Majors Coaches,Champro HC10,ST350/ST550,PC90H
Softball - Juniors Coaches,Champro HC10,ST350/ST550,PC90H
Softball - Seniors Coaches,Champro HC10,ST350/ST550,PC90H
